Komentar,Skor
Saya sangat senang sekali bertransaksi bersama Tokopedia terutama menyangkut kartu prakerja semoga kedepannya akan lebih baik lagi,1
Parah sya gak bisa apdet aplikasi ini sinyal bgus kuota ada udah gitu gak bisa daftar gak bisa login lagi,0
Saya hapus ni aplikasi Tokopedia. kecewa.contohnya.misalnya kita belanja sepatu.harga Rp.150000.+asuransi rp.5000.jadi semua Rp.155000.kalo kita bayar total semuanya kita bayarkan.Rp.180000. Gak guna lagi perlu di benahi.kalo mau. Maju tokonya,0
Sangat mudah dan nyaman belanja di tokopedia..semoga setelah ini Tokopedia bisa mlnjutkan proses srtfikat prakerja saya huhuhu mohon bantuannya tokopedia,1
"Hati hati belanja di Tokopedia .banyak penjual modus !!! Kalau barang yg dikirm udh gasesuai mening udh terima aja . kalo dibalikin kepenjual,nnti kalau penjual blg barang tidak terkirim ,hilang uang kita gtu aja.",0
"Enak belanja Tokopedia ga ribet ,cepat ,barang produk oke deh,gak ribet sip daaah",1
Maaf selbelum ny.. Apa skrang banyak yg mengeluh masalah kurir yg telat sampai?.. Saya juga sama ini sebelum ny pesanan paling lama 5 hari berjalan 6 hari ga sampai sampai..,0
Ka tollong segera berskan gangguan di rumah tokped nya.. soal nya mw cekout... !!! Tolong tindakan nya,1
"In aplikasi penipuan. Awalnya disuru mutar undian lalu dinlod aplikasi toko pedia, in maunya apa sih",0
"Di Tangerang gak bisa cod,bahhhhh...... Di Iklannya aja di bisa bayar di tempat.",0
Knapa aplikasi toko pedia tidak bisa d buka selalu cek koneksi dan kesalahan pada server n gangguan di rumah toped mask mau instal terus tiap mau buka toped,0
"Terlalu banyak toko abal-abal. Cirinya dg memasang harga yg tdk masuk akal. Barang yg umumnya seharga 50 ribuan tp di toko abal-abal bisa seharga ratusan ribu, dg foto yg jelas-jelas mencomot dr toko lain. Mmg siapa yg akan membeli ke toko macam itu ??? Toko abal-abal tsb hanya akan memperlambat saat kita melakukan pencarian barang yg kita inginkan. Toko abal-abal tdk membawa manfaat utk pembeli dan tdk mendatangkan keuntungan utk tokopedia.",0
"Sangat kecewa, kenapa saat membeli pelatihan prakerja katanya no.id tdk terdaftar padahal saya sdh 3 kali belanja pelatihan",0
"Mohon maaf sebelumnya, saya gagal dalam membeli pelatihan ditokopedia, mohon bantuannya",0
Nih apk gak jelas gak niat masa yaa aku jual hp bekas harga 700 trs kalo mau foto loading mulu emang yang buat gak niat,0
Gara gara toped kita jadi ketagihan belanja..apa ajadi jual di TOPed..bikin kita jadi tambah Mager...,1
"Kalau bisa jangan kerjasama dengan Anteraja, cukup dengan Sicepat saja.. Anteraja masih belum profesional dalam pengirimannya, sudah mau 3 hari barang sampai di kota tujuan tapi belum dikirim kirim ke alamat penerima.. Saya masih menunggu barang yang saya beli..",1
Jeleeeeeeeeeeeeeeeeeek kirain nggak ada ongkir nya tapi saat mau beli ongkir nya melebihi harga barang nya 😥,0
Masing2 barang supaya diberi stok nya ada berapa jadinya kalau ada pesanan pasti barang ready jangan sering tdk diproses alasan barang tidak ada,1
"Sebenernya aplikasi ini udah bagus, cuman saat aku buka toko dan mengisi semua data dan produk yang aku jual, beberapa jam kemudian saat dicek malah aku gk bisa masuk ke akun, ada kesalahan server katanya. Aku update, aku restart hp, aku pake wifi, aku instal ulang, copot pasang tetep aja gak ada perubahan. Perlu bolak-balik verifikasi dengan nomor HP.",0
"Gabisa verifikasi KTP utk seller baru ,buram hasil fotonya padahal sudah pas bgt dan jelas foto KTP nya",1
Knp ya saya mau login udah masukin nomor nya dan ditanya nama panjangnya udh ku jawab tetap gk bisa masuk,0
"Aplikasi nya bagus dan baik utk semua transaksi akurat dan cepat tanggap terimakasih Tokopedia, sukses dan maju terus.",1
Berbelanja menjadi lebih mudah...produk yang ditawarkan bervariatif sesuai dengan kebutuhan.,1
Baru mau pake voucher pengguna baru curang banget waktu ada diskon gede!!! pengiriman langsung di batalin aja sama pihak tokped padahal udah bayar!!! Woyyy lah nyeselll mana barang yang lagi dibutuhin!!!!,0
Aku lebih milih tokopedia karna ongkir nya lebih murah kalo shoopie barang nya udah murah sih tapi ongkir nya mahal bngt,1
Saya sudah lama skl pakai aplikasiini apli kasi ini bagus bangetttttttt kalian harus donload aplikasiini pokonya bagus banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
aplikasi sangat membantu untuk pembelian barang mudah dan cepat hati² kualitas barang sesuai dengan harga jangan terkecoh dengan harga murah alhasil kecewa nantinya.. utamakan produk Indonesian guys ..,1
"Pesanan promo dibatalkan otomatis, dan promo tidak bisa di beli lagi, Gak niat kasih promo",0
"Terima kasih tokopedia sudah membantu saya dalam pelatihan prakerja, sangat bermanfaat barakallah",1
"Pelatihan di Tokopedia sangat bagus,, rekomendasi sekali untuk semua",1
"Kenapa terjadi kendala di jaringan mulu yah padahal sinyal bagus, cobain ke aplikasi yang lain nggak terjadi kendala kok. Tapi kenapa Tokped terjadi kendala mulu aneh.",1
Ribet pakenya untuk akun prakerja sulit untuk di pahami banyak aturannya yang ujung2 nya buat kesel..,0
"Selama Tokopedia bekerjasama dengan kurir entaraja, cukup bintang satu. Sangat merugikan pembeli, karena lambatnya barang diterima pembeli",0
Bintang 🌟🌟🌟🌟🌟 saya kasih buat Skill Academy strategi Efektif untuk menjual apapun dengan mudah. By Rasmono,1
Dgn diadakannya program prakerja. Kami merasa sangat terbantu akibat pandemi covid19 ini. Apa lg yg sekrng masih dirumahkn. Utk materi yg disampaikn pun sangat mudah dipahami dan dimengerti. Terimakasih sudah berbagi pengetahuan melalui prakerja ini. Dan terimakasih juga kpd toko pedia yg sudah mau bekerjasama dg prakerja. Semoga bermanfa'at bagi kita semua👍👍👍 👍👍👍👍,1
Udah bagus lagi . Harus di marahin dulu baru sampai pesanan nya tapi masih terjamin isi ya,1
"Tokopedia mending bubarin aja buka jasa aplikasi jual-beli online tapi gamampu buat lapangan kerja untuk kurir, kesian driver gojek barang yang gamasuk akal mau gamau harus pick barang dari dropship tokopedia...saran kedepan, buat kurir sendiri deh kl gtu",0
"Tolong tokopedia tegur dong jasa pengiriman anteraja yang lambat dalam pengirimannya, kalau perlu putus mitra jangan pakai anteraja jadi kurir tokopedia",1
Terima kasih tokopedia sangat membantu buat prakerja....dan mempermudah buat skill kelas belajar....,1
"Gausah beli apa apa disini!! Sistemnya bobrok!! Dikasih voucher diskon 75rb untuk pengguna baru!! Giliran dipakai, malah disangka penipuan!! Aplikasi tolol bin ajaib!!! Mendingan pakai marketplace yg lain!! Jgn yg ini!! Pantes jelek, warnanya aja ijo udh kaya lumut dipinggiran got!!!",0
Mau beli meja komputer ga bisa lihat beratnya jadi susah. Dikit2 masukan kranjang lalu mau cek out baru keliatan ongkirnya. Kalo d serch ganti alamat langsung kadang gak pas. Makanya harus cek out dulu Begitu terus. Gara2 upgrade di tampilan PC,0
Saya sudah memberikan ulasan ke tokopedia bln Okt yang lalu.. Tp knapa sampai skrg sertifikat tidak muncul d dashboard? Padahal batas waktu pnggunaan saldo trkhr tgl 15 Desember.. Mohon untuk solusinya🙏,0
Lagi buru-buru mau beli barang keburu malem malah ga bisa masuk menu keranjang lagi maintenance,0
Tokopedia ini keren banget lohhh .tapi satu hal yg ingin saya tanyakan pada tokopedia .apakah BTS BRAND AMBASSADOR NYA TOKOPEDIA OKE itu aja saran dari saya semoga di balas sama tokopedia thanks ya kak .sumpah download aja nie tokopedia 😍😘😘,1
Kenapa setiap mau login selalu muncul tulisan kesalahan jaringan terus... mohon diperbaiki,0
"Terima kasih Tokopedia, berkat tokopedia pembelian pelatihan lebih gampang, dan mudah.♥️♥️♥️",1
"Saya kecewa sama tokopedia ,udah 4 hari pesanan saya masih dalam proses ,,,emang butuh berapa lama prosesnya ,tanya penjualnya dikirim kapan pesanan saya ,jwabnya sekarang ,semarang sapek 4 hari belom dikirim,profisional dong",0
Alhamdulillah... ada saldo dari pengembalian uang yg salah transaksi. mksh Tokopedia..,1
Parah bener pesanan dari tanggal 03 desember 2020 ampe sekarang msh blm dipick up mohon pihak toped memperhatikan itu,0
Di keranjang selalu kembali ke homepage!!!!! Padahal WiFi udah banyak,0
Bagus banget sudah mengundang K-Pop idol pengantaran nya sangat bagus banget pas sampe paket nya sesuai dengan keinginan TERIMAKASIH TOKOPEDIA,1
Alhamdulilah selama belanja ditokopedia bnyak baiknya dan jujur pedagang nya lebih ditingkatkan lagi sukses terus bos,1
Kecewa berapa kali order di toped masukin kupon Jelas-jelas di invoice bakal dapat Cashback setelah belanja selesai tapi malah enggak dapat,0
"HATI-HATI yg mau jualan di TOKOPEDIA Saya kasih tau aj ya, saldo dr penjualan kalian bs dipotong tiba-tiba dngn alasan pinalti yg tidak jelas & dngn tuduhan yg salah. Sprti saya dl jualan hewan (ikan) & ok mmng itu saya salah. Untk yang ke-2 saya sdh tdk menjual produk tersebut dan pd penjualan ini saldo saya dipotong dngn alasan penjualan ikan (lagi)? Dan tokopedia BILANG DNGN GAMPANGNYA: ""MAAF SALDO ANDA TIDAK DAPAT DIKEMBALIKAN KARENA ANDA TERDAFTAR DALAM GRATIS ONGKIR"" EMANG ADA HUBUNGANNYA?",0
Saya suka apa lagi tokped bergabung dengan si cepat kuris sekelas jnt mingu tetap ada pengiriman s Mangat tokped jangan dengarkan orang yang galau di *1 💪😁👍,1
Baik selama ini puas dan membantu untuk belanja dari rumah kalau bisa ongkirnya ditambah nominalnya,1
"Di tuduh nuyul hanya karna isi ovo dari rekening temen, ketat sih ketat, tapi ga berlebihan juga kali",0
"Jadi gini. Gw udh pesen brg, konfir pembayaran udh, ehh gk taunya psanan di batalkan pke alasan gk jelaslah, ahirnya jadi sisa saldo",0
"Kalau pembayaran cicilan, kok gak bisa pke OVO sii, kenapa gk bisa bayar pke ovo, tolong di perbaiki doonggg",0
"Kenapa yaa untuk klaim pembatalan orderan lama sekali? Sy order tgl 5, seller tidak mengirimkan barang sampai tanggal 14 ini status ""gagal pickup"" sudah mengajukan komplain dari beberapa hari yg lalu, dijanjikan terus mau diinvestigasi. Padahal jelas2 seller gak kirim barang sampai maksimal waktu yg ditentukan. Sampai hari ini pun masih suruh nunggu 7 hari kerja lagi. Padahal sudah sy cek resi, status ""gagal pickup"". Seharusnya sudah otomatis batal, dan dana saya dikembalikan otomatis",0
"Gara-garanya mau beli liquid web browser, pas di klik produk tidak tersedia? Giliran sudah ketemu di dimasukkan dalam keranjang... ? BARANG INI DI LARANG... Tidak bisa dibeli melalui aplikasi android... Kode promo dan voucher ada di aplikasi android..... Terus gmn2???",0
"Akun Tokopedia saya sudah dihack dari bulan maret 2020,, sampai sekarang belum ada tindak lanjut dari Tokopedia,,, sementara akun saya sering ada transaksi diluar sepengetahuan saya dan saldo ovo berkurang,,,, tolong developer bisa di bantu!!!!!",0
"Amjink lu gua g punya salah sama lu,baca ini pihak tokped baca Jan pura pura gk baca pesenan gua kenapa dibatalin bayar udah tepat waktu tapi malah dibatalin😠😠😠",0
"Bisa banget ngadain WIB. Tadi jam 10 serba 11rebu semuanya. Nunggu dong yg jam 12 dikira ada yg nyantol, eh harganya masih lumayan. Wkwkw.. Bisa aje nih. Belom pernah dapet yg spesial nih kita. 😅 #curhat",1
"Menyenangkan belanja di toko pedia cuma saran saya menyusun iklan dan ulasan kurang rapih jd coba di rubah seperti maaf Lazada pasti akan lebih menyenangkan, aku suka geratis ongkir di toko pedia ga ribet dan g bnyk syarat top deh 👍",1
"Terima kasih tokopedia semoga sukses selalu, aplikasi ini membuat hidup lebih mudah!",1
Pesan dari tgl 23 november sampe sekarang masih nunggu pickup trus.. blum brangkat2.. enakan blanja disebelah.. wlaupun ongkirnya murah disini.. tapi lebih nyaman disebelah.. jelas.. tokonya di chat jg direspon..,0
kenapa saya tidak bisa membeli pelatihan yg di perintahkan oleh pihak prakerja??? mohon bantuanya.,0
DI S***E ADA TLP CUST SERVC..B*****K ADA NO TLP CS DAN BISA LIVE CHAT...DI MANA ADA NO UNTUK RESPON JIKA ADA MASALAH..DISINI AJA YG TIDAK ADA NO CUST SERVC BAHAKAN ADA DI PUSAT BANTUAN ANDA AKAN D HUB 24/7 24 JAM 7 HARI...CEK AJA ...JIKA ADA KENDALA HABISLAH SUDAH.........,0
hallooo ini aplikasi kok updateeeee terusss ??? undian zonk teruussss ????,0
"Mantap keren sekali cuman saya saranin untuk kedepanya tolong untuk semua jenis dagangan bisa bayar ditempat/cod, apalagi sekarang musim covid 19 jadi kalo mau tf keluar rumah agak males & takut",1
Terimaksih tokopedia . Saya halina tusulfa perserta prakerja . Sayang sudah menyelesaikan kelas hingga 100% tapi status belum di beri ulasan pdahal saya suudah kasih ulasan .tolong bantuannya agar sertifikat saya kuncul di dasboard prakerja,1
"Tolong dong perbaiki lagii min..ko mw blanja dan transfer pke ovo ""Halaman Tidak Tersedia"" teruss hduh pdhl sinyal bagus..perbaiki yah biar gak kalah sama marketplace sebelah. Dan bikin buatan dlm negri Tokopedia mkin bagus",0
saya pengguna baru Tokopedia...salam kenal aja saya kasih bintang tiga aja dulu deh.,0
Harganya murah meriyah dari syopy Bukalapak dan lainnya terimakasih banyak atas perhatian kepada pelanggan,1
"maaf nih saya kasih B1, karena jasa expedisi Gratis Ongkir mu si AhNtarAja kayak gak niat bersaing sama jasa expedisi lain. Baru kali ini saya KECEWA BANGET!!! estimasi waktu pengiriman Udah LEWAT tapi barang belum nyampe juga, nunggu kena seleksi alam kah? Tolong terapkan : 1 keselamatan kurir, 2 keselamatan paket dan 3 KECEPATAN pengantaran klo pengen tetap eksis. Makasih",0
Min kenapa setelah di update notifikasi nya ga ada suara...jd telat terus balas chat yang masuk...sebelum nya normal,1
"Saya kasih bintang 1, karena saya pikir Tokopedia salah bekerja sama dengan ekspedisi anteraja, pengiriman sangat lama, tracking hari ini sudah di kota tujuan dan keterangan sudah dalam proses pengantaran oleh kurir,tapi sampai 4 hari berikutnya barang belum dikirim juga. Saya rubah bintang nya kalau Tokopedia nggak pake ekspedisi buruk itu lagi",0
Kenapa sekarang untuk produk 21+ di aplikasi android tidak ada dan harus pakai browser?,0
"beli di toko pedia udah 5 hari gak sampai2 sampaim sekarang, sungguh gak paus, kecewa banget",0
"Saya Tidak Bisa tukar tambah menggunakan metode bayar dilink aja, menggunakan Indomaret pun sama",0
"Saya sudah transfer melalui virtual account pada tanggal Senin, 26 Oktober 2020 12:41:01. Tp sdh 2 hari status masih menunggu konfirmasi operator. Belum ada perubahan status. Mohon segera ditindak lanjuti!!!!!!!! Kebutuhan listrik tidak bisa menunggu sampai 2 hari jika token sdh habis, beda sama barang yang bisa menunggu.",0
"Belajar di bitlabs cara buat websitenya sangat bagus karena kita belajar dari taks-teks singkat singkat yang langsung to the point, sehingga mudah dipraktekkan dalam buat sangat website. Terimakasih kepada bitlabs atas perhatian nya.",1
Terimakasih tokopedia.. Ke empat kalinya transaksi pembelian pelatihan prakerja.sangat membantu dan tidak ada kendala apapun Judul pelatihan cara presentasi yanf baik.studilmu,1
Aplikasih bahlul/goblokkkkkkkk paket ku belum sampai-sampai sekarang uda ku tunggu sampai 2 bulan setengah,0
sekarang ko jd lelet ya? coba admin mohon perbaikannya biar lebih lancar app market tokopedianya,1
Masih tahap uji coba mudah mudahan bagus biar untuk kedepannya bs jd mitra terima kasih.,0
"Lumayan, utk pengguna baru dapat produk gratis, hanya bayar ongkir aja.",1
Saya pengguna baru dan yang banyak saya dengar bagus dan sangat membantu.,1
KODE VERIVIKASI LOGINNYA MANA????? GAK DI KIRIM KIRIM,0
Ini dia Aplikasi Yg bikin solusi gk ribet buat Belanja Apa Aja.. Trims TOKOPEDIA smoga Tetap jaya.. 👍👍,1
"keterlaluan, sistem yg jelek kita yg kena imbas, transaksi dibatalkan sepihak oleh Tokopedia dg alasan yg sy sendiri pun tdk tau maksudnya, duit cash pembayaran saya dijadikan saldo, mengandung unsur penipuan",0
"pas sy beli barang,voucher sy sering dabatalin,dan saldonya dimasukin ke saldo tokopedia bukan ovo biar kita belanja di Tokopedia mulu",0
Aplikasi TOPED luar biasa membantu saya dalam berbelanja tanpa harus repot keluar rumah.,1
Selalu puas belanja di tokopedia.. banyak cashback.. terima kasih tokopedia.,1
Makasih Toko Pedia sy jadi tambah wawasan & ilmu ikut pelatihan K3 sukses selalu... Amin,1
"aplikasinya rusak. masa ada promo di pake malah di batalin otomatis. kalo emng ga sesuai sama s&k ya gaush php lah woy. gua cape"" jalan ke indomaret bayar tukang parkir padahal gua jalan kaki. bayangin gua jalan dari rumah ke indomaret sejauh 5km. gemporrrrrrr gua woyyy, bayar 21.800 dibalikin 19.300 buat beli pulsa yg 20rb aja kurang. beol!",0
baru aja download...tiba di buka udah minta di update.. lu ngapain 2 kali kerjaan tong,0
Sangat bermanfaat sekali dan banyak ilmu yang saya dapat di pelatihan Tokopedia terimakasih,1
Ga jelas bilang nya dapatkan hadiah iPhone ga jelas aplikasi udah di donwload malah gak jelas ga di kasih,1
"Sahabat on line di masa saat ini,semoga jaya selalu & sukses terus",1
"Alhamdulillah, saya sudah selesai mengikuti semua tahapan dan pelatihan di skill academy, materi sangat mudah dipahami, dan sangat bermanfaat bagi pemula. Terima kasih Tokopedia karena sudah memudahkan saya dalam membeli dan mengikuti pelatihan di skill academy. Aplikasi yang sangat bagus dan bermanfaat dalam berbagai hal,👍👍Sukses selalu Tokopedia, skill Academy dan Ruang Guru.👍",1
"SIALANNNNN TOKOPEDIA! Ulasan Rating toko tidak bisa dirubah! Karena produk yang saya beli kurang jadi saya kasi rating bintang 1 dan untuk toko ""kecewa"" Karena saya salah pilih disembunyikan nama, saya edit ulasan dgn tampilkan nama, saya tidak melihat bahwa rating/bintang otomatis berubah menjadi bintang 5 dengan sendirinya, dan pilihan kecewa menjadi biasa aja dgn sendirinya, setelah saya save perubahan, baru saya sadar penilaian otomatis BERUBAH, Pas sya mau edit lagi ternyata TDK BISA!!!!",0
Susah banget sih daftar nya Saya baru daftar tapi disuruh update maksudnya apaan coba.,0
kecewa krn selalu ad gangguan di rumah toped katanya mau di perbaiki tapi ttp aj ga bisa konek... errrorr trs,0
"Makin lama makin gk jelas tokopedia ini,setiap mau nabung emas aplikasi selalu eror dan keluar tiba""begitu juga dengan reksa dana nya,tapi giliran dipake belanja biasa lancar""aja urh gitu kenapa fitur pembayaran non kartu kredit saya dihapus,saya pengguna lama dan setia tokopedia terus terang sangat kecewa sekali,",0
"Aplikasi sampah.. saya pengguna baru.. dapet voucher potongan 30 ribu.. Order.. Dibayar tadi pagi lewat briva.. sudah dibayar dan sukses tiba tiba dibatalkan sepihak.. Apa ga sampah namanya Alasannya melanggar ketentuan.. Kalo memang ada yg ga sesuai harusnya dari awal ga bisa dibayar dong.. Heran aplikasi sampah kaya gini ko bisa rating 4,7 Rating bayaran ya?",0
KECEWA!! Baru perdana belanja di tokped tp kenapa PESANAN saya di batalkan sepihak ya? Saya sudah TRANSFER tp sampai skrng (sudah 3hr kerja) DANA / UANG belum di kembalikan?? Komplain ke CS ga bisa!! Coba tolong di TINDAK lanjuti !!!,0
Ah gk jadi dwonload ..kirain bagus apliksinya.. bnyak yg komen gk nyaman jadi takut juga klo pesen lewat tokopedia ..,1
Tempat belanja online yg paling sy suka...recomended bgt...amaaan berbelanja di tokped,1
Setelah di update kok nomor resi jadi lambat masuknya tau tau barang sudah sampai....,0
"Download tadi pagi karena mau bayar pajak lewat tokopedia. Tapi bbrapa kali input data dan klik bayar tidak bisa diproses krna server sibuk antusias pengunjung situs tinggi. Mau komplain bingung kemana?! Seharusnya ada live chat dg cs tkp biar konsumen bisa dicarikan solusinya, tapi cuma akun peringkat gold/platinum yg bisa. Trus disuruh komplain lwt FB / TWITTER, masa harus bikin akun fb/twitter cuma mau minta solusi. Saya sdh baca semua Q/A tokopediacare, jadi jangan suruh baca lagi.",0
"Saran supaya lebih fair antara penjual dan pembeli dong, untuk tambahin fitur di ulasan bisa upload video, jadi bukan hanya foto. Juga kalau bisa diskusi itu di ulasan, karena kadang saya ngerasain sebagai buyer atau bahkan penjual, suka bingung mau nentuin mana yang sebetulnya jujur (penjual/pembeli) jadi supaya lebih worriless aja kalo belanja disini. Karena jujur, maupun ada promo apapun di marketplace lain, aku selalu nyamannya sama tokopedia gak tau kenapa.",0
"KK ini aplikasi aku baru aja aku up, tapi kok malah jadi lemot banget ya... Aku mau belanja tapi selalu gak bisa. Bilang jaringan aku gak bagus, padahal jaringan aku bagus kok. Setiap mau lanjut dari metode pembayaran selalu gagal. Kecewa aku tu. Padahal sebelumnya gak kayak gitu, sebelumnya jaringan aku jelek pun masih bisa buka. Ini kok setelah di update kok jadi kayak gini sih. Ayo dong KK, aku lagi butuh ni. Mau cepat",0
Mohon untuk COD nya dunk ga ada biaya penanganan. Lazada bayar COD saja ga ada bayar biaya penanganan. Mohon kebijaksanaannya yg sebesar besarnya,0
"Layananya buruk sekali, informasi ada diskon, tapi setelah mengikuti panduan, dan sampai pada tahap transaksi, proses di batalkan dgn sistem, dgn alasan diskon yg tercantum sudah digunakan, uang pun sudah terlanjur masuk, diskon pun tidak di dapat, mau gak mau kita harus order ulang tanpa diskon, dan informasi apapun tidak akan di dapat sebelum melakukan transaksi, misal hari libur dsb, akan di beri tahu setelah melakun transaksi, jebakan yg bagus 👍",0
Seller dan pengiriman lama tolong diperbaiki biar gk kalah sama aplikator blanja yg lain,0
"baru mw coba pake tokopedia,makanya kasi bintang 4,mudah2an toko nya amanah,...nanti d tambain bintangnya👍",1
"Kayak mananya nie, sudah lama order barang tak datang lepas tu d cancel tiba2x n duit saya pun susah nak ambil kembali, d bagi tau 2x24 jam tapi pa ? yang da berhari2x sudah 1 minggu g jelas pun, kalau sedikit duitnya tak masalah, Lah nie 500rb lebih tau buat rugi ja, proses nya lambat,,,, Buat sistem yg otomatislah jd tak mac nie merugikan saja,,,",0
Sudah update terbaru tapi terus aja nyuruh update lagi padahal udah ga ada yg harus diupdate,0
Gratis ongkir keluar pulau ga ada.. Ayo donk tokped.. Masak kalah sama tetangga sebelah,0
"Sangat bagus Aplikasinya, cuma kok tiap saya mau ke Tokopedia Carenya selalu gak bisa?",1
"Ternyata sudah banyak yg mengalami kejadian seperti yg saya alami, saya order, dan barang blum ketrima, saya cek resi keterangan barang dikembalikan ke penjual, saya komplain lewat tokopedia care, saya transaksi dr tgl 26 september sampai perhari ini dr pihak tokopedia care selalu saja lempar ke penjual lempar lagi ke expedisi, gimn ini manajemen tokopedia, bener beda banget sama si oren, tolong komplain saya segera segera segera diselesaikan agar tidak merugikan pembeli, tolong refund dana saya",0
Padahal w satu rumah orang bnyak.. wajar lah klo alamat nya sama. Mentang2 diskon. Transaksi d tolak.. Untung w cuma bayar cepe perak..🤣🤣 shopee emang the best dah..,0
Baru diupdate minta diupdate terus menerus ya? Aneh jadi malas pakai aplikasi ini!,0
Trimakasih toko pedia sudah memudahkan layanan prakerja.. buat kalian para pengguna prakerja jangan ragu dengan pelatiha yang ada di sini,1
"Payaaaaah, tutorial cara pre order produk dengan asli di aplikasi ga sama, di aplikasi ga ada fitur pre order dongs ,koq tokped tambah payah aja kesini nya ya, apa tutup toko aja ya, ditambah chat ke cs SULIT ga kayak apk oren .",0
tokopedia memberikan kemudahan padaku yang males untuk keluar rumah untuk membeli kebutuhan,1
Saya merasa pelayanan toped dari tahun ke tahun tren semakin menurun......harap di improve maximal,0
"Tokopedia Sangat mengecewakan pelanggan, saya sarankan belanja di online shop lainnya",0
"Saya baru bikin akun tokped, ada promosi belanja murah cuma 10rb, diskon 10rb dan dikenakan ongkir saja Setelah saya melakukan pembayaran, berapa jam kemudian Saya cek \'transaksi anda dibatalkan\' dengan alasan, melanggar syarat dan ketentuan Saya gak ngerti yg dimaksud melanggar itu apa Dulu memang saya punya akun tokped, tp sim card (nomor yg terdaftar) sudah lama hilang, dan saya beli sim card baru Baru pertama kali saya pesanan saya dibatalkan tiba"" seperti ini, saya sangat kecewa",0
sedikit membingungkan untuk metode pembayaran. dan mau membatalkan pesanan agak ribet ya maklum baru transaksi pake tokped biasanya tim orens,1
Alhamdulillah beli kelas di toko pedia... Penjelasan secara detail cepat dimengerti. Dan sngat gampang... Untuk mnjawabnya.,1
Membantu sekali dan efektif dalam penyampaian materi mudah di fahami dan dimengerti...,1
"Tolong diperhatikan toko toko yg kurang ajar sama konsumennya, langsung ditanggapi.",0
Terima kasih Tokopedia karena telah membantu dalam proses pembelajaran. Pelatihan yang saya ikuti di Tokopedia mudah dipahami dan materi yang diberikan mudah dipahami. Semoga sertifikat saya bisa keluar dengan cepat dan tidak ada masalah. Semoga selalu bermanfaat untuk semuanya. Terimakasih,1
"Aplikasi sering di update , Customer Servis gak pernah update ! Pindah ke toko sebelah saja !",0
"Dari segala fitur, harga, Barang dan cashback sudah oke, cuma gendala masalah gratis ongkir nih, kenapa harus ada expedisi ""Anteraja"" pengirimannya lemot... Harusnya fitur bebas ongkir bisa pilih expedisi yang memadai dan bagus di tempatnya ya Minimal kaya dulu "" Sicepat"" dah oke",0
"Bagus banget aplikasinya, di sini andan akan puas, kalau berbelanja di Tokopedia👍",1
Sukses terus tokopedia dan jaga kepercayaan konsumen atas barang2 yg tersedia di tokopedia.,1
"Semenjak toped pakek layana ekspedisi antar aja, sring banget dpt masalah, yg barang ketuker, nyampenya lama banget, barangnya ancur dll, jembeeekkk",0
Tokopedia membantu saya untuk prakerja dan sebelum ada prakerja saya suka order ke Tokopedia.,1
"Mau order barang chat penjual tidak sering merespon,,!!! Parah bgt",0
"Malas sekali update versi yg sekarang. Tadinya saya kasih bintang 5 jadi bintang 1 yah alasannya supaya didengarkan. Update kali ini meliputi bagian Transaksi (Menunggu Konfirmasi, Pesanan Diproses, Sedang Dikirim, Sampai Tujuan) dimana jika diklik salah satu tersebut malah jadi semua transaksi jadi satu semua, sangat-sangat membingunkan. Kalau jadi satu semua transaksinya mending tidak usah dibuat iconnya yang dalam kurung tadi. Mohon diperbaiki update kali ini.",0
Alhmdulillah sy ucapka banyak terima kasih pada tokped yg telah banyak membantu kelancaran usahs saya,1
"Menu hapus di keranjang kenapa di hilangkan, tolong di aktifkan lagi",1
"Uang sudah masuk di tokopedia tapi pesana saya pembayaran Buana Finance dan Saldo Emoney belum dikasih, gimana ni tokped ?",0
"Belanja jadi mudah, cukup dirumah aja, terima kasih tokopedia",1
"Setelah di update kenapa tambah parah,aplikasi suka keluar sendiri dan susah di buka",0
wowww ternyata lebih mudah melakukan pembayaran dengan Link aja.👍👍,1
Tks arkademi mg ilmu yg sudah di ajarkan bermanfaat dan dpt di terapkan du dunia kerja aamiin.,1
"bintang satu dulu saya kecewa saya mau tarik saldo yang gagal pesanan terus di simpan di saldo tokopedia, saya sudah tarik tapi tidak masuk rekening mohon segera di percepat di lakukan pengiriman ke no rek saya",0
"Katanya promo. Waktu udah dibayar malah dibalikin/dibatalkan secara sepihak oleh tokped dan malah dibilang pelanggaran. Apa maksudnya coba. Pelanggarannya dimana?. Ini aplikasi gimana? Kalo ga sanggup buat promo ga usah dimunculin di beranda. Kecewa sama ni aplikasi. Buang-buang waktu, buang-buang tenaga. Aneh 👎",0
Gimana ya kok upload ktp gabisa terus. Ini gmna butuh bantuan!!!!,0
